Gene_name,Gene_name,biotype,gene_length,Ensembl_ID
Camta,Camta,protein_coding,10086,FBgn0287478
CG33758,CG33758,protein_coding,537,FBgn0053758
CG33757,CG33757,protein_coding,537,FBgn0053757
Wnt2,Wnt2,protein_coding,2240,FBgn0004360
brp,brp,protein_coding,13350,FBgn0259246
CG1888,CG1888,protein_coding,5704,FBgn0033421
lncRNA:CR43651,lncRNA:CR43651,ncRNA,1097,FBgn0263660
mir-14,mir-14,pre_miRNA,63,FBgn0262447
asRNA:CR45281,asRNA:CR45281,ncRNA,5936,FBgn0266819
Or45b,Or45b,protein_coding,1191,FBgn0033422
Alp6,Alp6,protein_coding,1686,FBgn0033423
Not1,Not1,protein_coding,10916,FBgn0085436
CG1814,CG1814,protein_coding,2060,FBgn0033426
lncRNA:CR46257,lncRNA:CR46257,ncRNA,367,FBgn0267990
Smyd4-1,Smyd4-1,protein_coding,2439,FBgn0033427
Urod,Urod,protein_coding,1299,FBgn0033428
CG12929,CG12929,protein_coding,551,FBgn0033429
RpL31,RpL31,protein_coding,613,FBgn0285949
clos,clos,protein_coding,5621,FBgn0261016
CG1827,CG1827,protein_coding,1341,FBgn0033431
Map60,Map60,protein_coding,1814,FBgn0010342
CG30338,CG30338,protein_coding,1039,FBgn0050338
CG1902,CG1902,protein_coding,1897,FBgn0033434
CG30340,CG30340,protein_coding,1232,FBgn0050340
CG30339,CG30339,protein_coding,1023,FBgn0050339
lncRNA:CR44285,lncRNA:CR44285,ncRNA,232,FBgn0265312
GstT1,GstT1,protein_coding,997,FBgn0050000
GstT2,GstT2,protein_coding,887,FBgn0050005
CG12926,CG12926,protein_coding,1347,FBgn0033437
asRNA:CR44069,asRNA:CR44069,ncRNA,1351,FBgn0264878
Mmp2,Mmp2,protein_coding,5065,FBgn0033438
mir-307b,mir-307b,pre_miRNA,120,FBgn0262172
mir-307a,mir-307a,pre_miRNA,88,FBgn0262385
lncRNA:CR44070,lncRNA:CR44070,ncRNA,618,FBgn0264879
tRNA:iMet-CAT-2-1,tRNA:iMet-CAT-2-1,tRNA,72,FBgn0011921
Uba1,Uba1,protein_coding,4343,FBgn0023143
CG30002,CG30002,protein_coding,1572,FBgn0260474
CG1773,CG1773,protein_coding,1123,FBgn0033439
CG10459,CG10459,protein_coding,1187,FBgn0033440
lncRNA:CR44292,lncRNA:CR44292,ncRNA,1487,FBgn0265338
dap,dap,protein_coding,2530,FBgn0010316
sqa,sqa,protein_coding,6458,FBgn0259678
CheA46a,CheA46a,protein_coding,534,FBgn0262594
trpl,trpl,protein_coding,3893,FBgn0005614
CG1690,CG1690,protein_coding,1708,FBgn0033442
asRNA:CR44205,asRNA:CR44205,ncRNA,1167,FBgn0265103
CG1688,CG1688,protein_coding,4116,FBgn0027589
asRNA:CR44207,asRNA:CR44207,ncRNA,1204,FBgn0265105
lncRNA:CR44208,lncRNA:CR44208,ncRNA,2695,FBgn0265106
CG1698,CG1698,protein_coding,4106,FBgn0033443
CG1648,CG1648,protein_coding,1443,FBgn0033446
lectin-46Cb,lectin-46Cb,protein_coding,1039,FBgn0040092
lectin-46Ca,lectin-46Ca,protein_coding,1105,FBgn0040093
CG34033,CG34033,protein_coding,566,FBgn0054033
CG30001,CG30001,protein_coding,1327,FBgn0050001
dila,dila,protein_coding,3632,FBgn0033447
hebe,hebe,protein_coding,2119,FBgn0033448
CG1663,CG1663,protein_coding,1439,FBgn0033449
Lsm11,Lsm11,protein_coding,1067,FBgn0033450
Marc,Marc,protein_coding,1189,FBgn0033451
Vamp7,Vamp7,protein_coding,1148,FBgn0266186
Sting,Sting,protein_coding,1576,FBgn0033453
Orc6,Orc6,protein_coding,972,FBgn0023180
Prosalpha7,Prosalpha7,protein_coding,976,FBgn0023175
CG1671,CG1671,protein_coding,2523,FBgn0033454
PCB,PCB,protein_coding,4739,FBgn0027580
asRNA:CR44293,asRNA:CR44293,ncRNA,401,FBgn0265339
CG30010,CG30010,protein_coding,960,FBgn0050010
CG46338,CG46338,protein_coding,1231,FBgn0285962
Ntmt,Ntmt,protein_coding,1420,FBgn0033457
lncRNA:CR45138,lncRNA:CR45138,ncRNA,736,FBgn0266631
Lime,Lime,protein_coding,2115,FBgn0033458
CG12744,CG12744,protein_coding,1298,FBgn0033459
Sec24AB,Sec24AB,protein_coding,4951,FBgn0033460
asRNA:CR45467,asRNA:CR45467,ncRNA,1210,FBgn0267023
CG1513,CG1513,protein_coding,4178,FBgn0033463
CG12923,CG12923,protein_coding,1838,FBgn0033461
CG30008,CG30008,protein_coding,965,FBgn0050008
tea,tea,protein_coding,5951,FBgn0285892
CG1441,CG1441,protein_coding,1866,FBgn0033464
FMRFa,FMRFa,protein_coding,1427,FBgn0000715
Etf-QO,Etf-QO,protein_coding,2300,FBgn0286783
Mef2,Mef2,protein_coding,9188,FBgn0011656
Pdrg1,Pdrg1,protein_coding,562,FBgn0033467
Pal1,Pal1,protein_coding,2992,FBgn0283510
CG1418,CG1418,protein_coding,1128,FBgn0033468
CG12133,CG12133,protein_coding,1094,FBgn0033469
eIF3j,eIF3j,protein_coding,1363,FBgn0027619
CG12134,CG12134,protein_coding,1526,FBgn0033471
asRNA:CR46453,asRNA:CR46453,ncRNA,1356,FBgn0287464
lncRNA:CR46455,lncRNA:CR46455,ncRNA,1504,FBgn0287466
asRNA:CR43948,asRNA:CR43948,ncRNA,2589,FBgn0264599
eve,eve,protein_coding,1406,FBgn0000606
lncRNA:CR45324,lncRNA:CR45324,ncRNA,1161,FBgn0266863
TER94,TER94,protein_coding,3457,FBgn0286784
Pka-R2,Pka-R2,protein_coding,4855,FBgn0022382
mir-4967,mir-4967,pre_miRNA,107,FBgn0263557
lncRNA:CR44294,lncRNA:CR44294,ncRNA,403,FBgn0265340
CG12128,CG12128,protein_coding,3766,FBgn0033473
CG1407,CG1407,protein_coding,3013,FBgn0033474
CG12129,CG12129,protein_coding,1239,FBgn0033475
oys,oys,protein_coding,4866,FBgn0033476
CG34220,CG34220,protein_coding,2387,FBgn0085249
lncRNA:CR44295,lncRNA:CR44295,ncRNA,1103,FBgn0265341
COX7C,COX7C,protein_coding,853,FBgn0040773
CG44296,CG44296,protein_coding,410,FBgn0265342
sel,sel,protein_coding,1012,FBgn0263260
magu,magu,protein_coding,3217,FBgn0262169
asRNA:CR44297,asRNA:CR44297,ncRNA,353,FBgn0265343
lncRNA:CR44298,lncRNA:CR44298,ncRNA,299,FBgn0265344
Def,Def,protein_coding,399,FBgn0010385
PIG-N,PIG-N,protein_coding,3072,FBgn0033479
mRpL42,mRpL42,protein_coding,593,FBgn0033480
Cdc2rk,Cdc2rk,protein_coding,1251,FBgn0013435
CG12920,CG12920,protein_coding,1307,FBgn0033481
CG1371,CG1371,protein_coding,3870,FBgn0033482
egr,egr,protein_coding,2166,FBgn0033483
snoRNA:Or-ACA7,snoRNA:Or-ACA7,snoRNA,82,FBgn0286727
scaRNA:MeU1b-A234,scaRNA:MeU1b-A234,snoRNA,137,FBgn0263201
snoRNA:Or-ACA6,snoRNA:Or-ACA6,snoRNA,138,FBgn0286726
snoRNA:Or-CD13,snoRNA:Or-CD13,snoRNA,70,FBgn0286728
CG2269,CG2269,protein_coding,4037,FBgn0033484
sut4,sut4,protein_coding,1686,FBgn0028560
Jra,Jra,protein_coding,1642,FBgn0001291
RpLP0-like,RpLP0-like,protein_coding,948,FBgn0033485
14-3-3zeta,14-3-3zeta,protein_coding,3637,FBgn0004907
Pfk,Pfk,protein_coding,4377,FBgn0003071
dmpd,dmpd,protein_coding,2513,FBgn0033486
Ccs,Ccs,protein_coding,977,FBgn0010531
CG46319,CG46319,protein_coding,6172,FBgn0284235
gem,gem,protein_coding,6251,FBgn0050011
CG12917,CG12917,protein_coding,1490,FBgn0033490
asRNA:CR43467,asRNA:CR43467,ncRNA,2813,FBgn0263444
Or46a,Or46a,protein_coding,2450,FBgn0026388
CG18011,CG18011,protein_coding,3329,FBgn0033491
KCNQ,KCNQ,protein_coding,3875,FBgn0033494
asRNA:CR45133,asRNA:CR45133,ncRNA,1256,FBgn0266626
mlt,mlt,protein_coding,3016,FBgn0265512
CG34221,CG34221,protein_coding,1165,FBgn0085250
Hr3,Hr3,protein_coding,10465,FBgn0000448
CG12912,CG12912,protein_coding,6466,FBgn0033497
CG46321,CG46321,protein_coding,6071,FBgn0284237
lncRNA:CR46322,lncRNA:CR46322,ncRNA,666,FBgn0284238
lncRNA:CR45265,lncRNA:CR45265,ncRNA,402,FBgn0266803
Hdc,Hdc,protein_coding,3826,FBgn0005619
CG12209,CG12209,protein_coding,1268,FBgn0033498
CG12914,CG12914,protein_coding,1276,FBgn0033499
CG12913,CG12913,protein_coding,2523,FBgn0033500
Syb,Syb,protein_coding,1237,FBgn0003660
CG12911,CG12911,protein_coding,1639,FBgn0033501
lncRNA:CR30009,lncRNA:CR30009,ncRNA,2450,FBgn0050009
CG12910,CG12910,protein_coding,2662,FBgn0033502
CAP,CAP,protein_coding,18441,FBgn0033504
RNaseZ,RNaseZ,protein_coding,2707,FBgn0028426
CG12909,CG12909,protein_coding,1031,FBgn0033507
Obp46a,Obp46a,protein_coding,597,FBgn0033508
Ndg,Ndg,protein_coding,4816,FBgn0026403
CG34222,CG34222,protein_coding,584,FBgn0250822
SLO2,SLO2,protein_coding,10039,FBgn0261698
CG46305,CG46305,protein_coding,536,FBgn0284083
CG43200,CG43200,protein_coding,487,FBgn0262836
CG43172,CG43172,protein_coding,536,FBgn0262791
CG43201,CG43201,protein_coding,607,FBgn0262837
CG43171,CG43171,protein_coding,619,FBgn0262790
CG43178,CG43178,protein_coding,619,FBgn0262807
CG46298,CG46298,protein_coding,1022,FBgn0283625
CG43397,CG43397,protein_coding,1047,FBgn0263271
CG12902,CG12902,protein_coding,1047,FBgn0033512
CG42733,CG42733,protein_coding,630,FBgn0261686
CG43396,CG43396,protein_coding,575,FBgn0263270
Gr47a,Gr47a,protein_coding,1206,FBgn0041242
Ir47b,Ir47b,pseudogene,1303,FBgn0265141
Ir47a,Ir47a,protein_coding,2982,FBgn0033515
CG12898,CG12898,protein_coding,471,FBgn0033516
CR43177,CR43177,pseudogene,450,FBgn0262806
CG33477,CG33477,protein_coding,597,FBgn0053477
CG33476,CG33476,protein_coding,498,FBgn0053476
CG33475,CG33475,protein_coding,444,FBgn0053475
Prx2540-2,Prx2540-2,protein_coding,856,FBgn0033518
CG11825,CG11825,protein_coding,1291,FBgn0033519
CG33474,CG33474,protein_coding,1284,FBgn0053474
Prx2540-1,Prx2540-1,protein_coding,848,FBgn0033520
CG12896,CG12896,protein_coding,848,FBgn0033521
RanBPM,RanBPM,protein_coding,4457,FBgn0262114
CG12895,CG12895,protein_coding,667,FBgn0033523
Galphao,Galphao,protein_coding,6415,FBgn0001122
Cyp49a1,Cyp49a1,protein_coding,2833,FBgn0033524
Caf1-105,Caf1-105,protein_coding,2481,FBgn0033526
CG11777,CG11777,protein_coding,701,FBgn0033527
whd,whd,protein_coding,3175,FBgn0261862
asRNA:CR45134,asRNA:CR45134,ncRNA,673,FBgn0266627
trsn,trsn,protein_coding,864,FBgn0033528
CG17765,CG17765,protein_coding,989,FBgn0033529
pre-lola-G,pre-lola-G,protein_coding,3359,FBgn0264817
lola,lola,protein_coding,25208,FBgn0283521
snoRNA:lola-a,snoRNA:lola-a,snoRNA,166,FBgn0263466
snoRNA:lola-b,snoRNA:lola-b,snoRNA,161,FBgn0263481
snoRNA:lola-c,snoRNA:lola-c,snoRNA,171,FBgn0263482
snoRNA:lola-d,snoRNA:lola-d,snoRNA,136,FBgn0263483
asRNA:CR45135,asRNA:CR45135,ncRNA,334,FBgn0266628
lncRNA:acal,lncRNA:acal,ncRNA,2336,FBgn0283426
psq,psq,protein_coding,7602,FBgn0263102
CG11883,CG11883,protein_coding,3970,FBgn0033538
Git,Git,protein_coding,2503,FBgn0033539
Elp2,Elp2,protein_coding,2538,FBgn0033540
CG12934,CG12934,protein_coding,943,FBgn0033541
lncRNA:CR44452,lncRNA:CR44452,ncRNA,721,FBgn0265645
lncRNA:CR46229,lncRNA:CR46229,ncRNA,882,FBgn0267949
stan,stan,protein_coding,13535,FBgn0024836
Rab3,Rab3,protein_coding,3757,FBgn0005586
CAH13,CAH13,protein_coding,2003,FBgn0033542
CG12338,CG12338,protein_coding,1357,FBgn0033543
CG7220,CG7220,protein_coding,2663,FBgn0033544
Mat1,Mat1,protein_coding,1213,FBgn0024956
CG33144,CG33144,protein_coding,5611,FBgn0053144
lncRNA:CR43605,lncRNA:CR43605,ncRNA,812,FBgn0263802
lncRNA:CR44299,lncRNA:CR44299,ncRNA,1523,FBgn0265345
lncRNA:CR44300,lncRNA:CR44300,ncRNA,313,FBgn0265346
lncRNA:CR44301,lncRNA:CR44301,ncRNA,299,FBgn0265347
mthl13,mthl13,protein_coding,1323,FBgn0050018
wde,wde,protein_coding,4856,FBgn0027499
CG12935,CG12935,protein_coding,1200,FBgn0033547
CG7637,CG7637,protein_coding,316,FBgn0033548
mms4,mms4,protein_coding,1138,FBgn0033549
CG12341,CG12341,protein_coding,1100,FBgn0033550
CG7222,CG7222,protein_coding,1583,FBgn0033551
dgo,dgo,protein_coding,3539,FBgn0086898
Prosbeta5,Prosbeta5,protein_coding,1139,FBgn0029134
Lsm10,Lsm10,protein_coding,543,FBgn0033554
RpS15Ab,RpS15Ab,protein_coding,724,FBgn0033555
CG12343,CG12343,protein_coding,973,FBgn0033556
CG12325,CG12325,protein_coding,3410,FBgn0033557
CG12344,CG12344,protein_coding,2905,FBgn0033558
LTV1,LTV1,protein_coding,2099,FBgn0027525
CG30015,CG30015,protein_coding,7491,FBgn0050015
asRNA:CR45136,asRNA:CR45136,ncRNA,888,FBgn0266629
lncRNA:CR44302,lncRNA:CR44302,ncRNA,497,FBgn0265348
CG30016,CG30016,protein_coding,446,FBgn0050016
nclb,nclb,protein_coding,1549,FBgn0263510
Taf5,Taf5,protein_coding,2362,FBgn0010356
Pex6,Pex6,protein_coding,2953,FBgn0033564
CG18003,CG18003,protein_coding,1322,FBgn0061356
CG18004,CG18004,protein_coding,1242,FBgn0033566
mir-1008,mir-1008,pre_miRNA,57,FBgn0262412
CG30020,CG30020,protein_coding,4730,FBgn0050020
cag,cag,protein_coding,1324,FBgn0017414
CG12942,CG12942,protein_coding,2481,FBgn0033569
ND-B14,ND-B14,protein_coding,612,FBgn0033570
Rpb5,Rpb5,protein_coding,1030,FBgn0033571
polyph,polyph,protein_coding,1550,FBgn0033572
Obp47a,Obp47a,protein_coding,498,FBgn0033573
Spn47C,Spn47C,protein_coding,3169,FBgn0033574
lncRNA:CR45228,lncRNA:CR45228,ncRNA,787,FBgn0266763
luna,luna,protein_coding,8785,FBgn0040765
CG43188,CG43188,protein_coding,795,FBgn0262817
lncRNA:CR46409,lncRNA:CR46409,ncRNA,605,FBgn0286890
Cyp12d1-p,Cyp12d1-p,protein_coding,4482,FBgn0050489
CR46420,CR46420,pseudogene,873,FBgn0286920
Cyp12d1-d,Cyp12d1-d,protein_coding,1812,FBgn0053503
CR46421,CR46421,pseudogene,895,FBgn0286921
BBS4,BBS4,protein_coding,1520,FBgn0033578
CG13229,CG13229,protein_coding,2611,FBgn0033579
CG13231,CG13231,protein_coding,707,FBgn0033580
CG12391,CG12391,protein_coding,2378,FBgn0033581
CG13230,CG13230,protein_coding,318,FBgn0040764
shn,shn,protein_coding,10997,FBgn0003396
CG9084,CG9084,protein_coding,1433,FBgn0033582
Syx6,Syx6,protein_coding,2261,FBgn0037084
CG7737,CG7737,protein_coding,2556,FBgn0033584
metro,metro,protein_coding,2782,FBgn0050021
CG13218,CG13218,protein_coding,523,FBgn0033587
CG13228,CG13228,protein_coding,471,FBgn0033588
CG13227,CG13227,protein_coding,504,FBgn0033589
CG34223,CG34223,protein_coding,285,FBgn0085252
CG13217,CG13217,protein_coding,484,FBgn0033590
CG34224,CG34224,protein_coding,473,FBgn0085253
CG13216,CG13216,protein_coding,888,FBgn0033591
CG13215,CG13215,protein_coding,621,FBgn0033592
Listericin,Listericin,protein_coding,450,FBgn0033593
CG13226,CG13226,protein_coding,953,FBgn0033594
CG34225,CG34225,protein_coding,590,FBgn0085254
CR30029,CR30029,pseudogene,550,FBgn0050029
CG34227,CG34227,protein_coding,485,FBgn0085256
CG43112,CG43112,protein_coding,340,FBgn0262572
Or47a,Or47a,protein_coding,1359,FBgn0026386
Cpr47Ea,Cpr47Ea,protein_coding,829,FBgn0033597
Cpr47Eb,Cpr47Eb,protein_coding,817,FBgn0033598
CG13223,CG13223,protein_coding,1769,FBgn0033599
Cpr47Ec,Cpr47Ec,protein_coding,744,FBgn0033600
Cpr47Ed,Cpr47Ed,protein_coding,634,FBgn0033601
Cpr47Ee,Cpr47Ee,protein_coding,1386,FBgn0033602
Cpr47Ef,Cpr47Ef,protein_coding,2198,FBgn0033603
TpnC47D,TpnC47D,protein_coding,791,FBgn0010423
Cpr47Eg,Cpr47Eg,protein_coding,421,FBgn0086519
CG9067,CG9067,protein_coding,548,FBgn0033605
Vhl,Vhl,protein_coding,1309,FBgn0041174
CG9062,CG9062,protein_coding,3035,FBgn0033607
CG13220,CG13220,protein_coding,816,FBgn0033608
Fbl6,Fbl6,protein_coding,3700,FBgn0033609
CG18335,CG18335,protein_coding,1346,FBgn0033610
dare,dare,protein_coding,1681,FBgn0015582
CG30033,CG30033,protein_coding,1002,FBgn0050033
CG18336,CG18336,protein_coding,750,FBgn0040763
CG42336,CG42336,protein_coding,1514,FBgn0259238
CG7741,CG7741,protein_coding,3158,FBgn0033615
Obp47b,Obp47b,protein_coding,611,FBgn0033614
Fpps,Fpps,protein_coding,1465,FBgn0025373
CG7745,CG7745,protein_coding,1893,FBgn0033616
nompA,nompA,protein_coding,5235,FBgn0016047
CG43114,CG43114,protein_coding,278,FBgn0262574
Or47b,Or47b,protein_coding,1239,FBgn0026385
sha,sha,protein_coding,6115,FBgn0003382
lambdaTry,lambdaTry,protein_coding,952,FBgn0043470
kappaTry,kappaTry,protein_coding,937,FBgn0043471
zetaTry,zetaTry,protein_coding,947,FBgn0011556
etaTry,etaTry,protein_coding,911,FBgn0011554
thetaTry,thetaTry,protein_coding,1047,FBgn0011555
alphaTry,alphaTry,protein_coding,860,FBgn0003863
epsilonTry,epsilonTry,protein_coding,830,FBgn0010425
betaTry,betaTry,protein_coding,1071,FBgn0010357
gammaTry,gammaTry,protein_coding,810,FBgn0010359
CG30031,CG30031,protein_coding,811,FBgn0050031
CG30025,CG30025,protein_coding,810,FBgn0050025
deltaTry,deltaTry,protein_coding,810,FBgn0010358
CG13202,CG13202,protein_coding,426,FBgn0033623
iotaTry,iotaTry,protein_coding,818,FBgn0015001
tRNA:SeC-TCA-1-1,tRNA:SeC-TCA-1-1,tRNA,87,FBgn0011987
CG12384,CG12384,protein_coding,612,FBgn0033624
ix,ix,protein_coding,727,FBgn0001276
san,san,protein_coding,808,FBgn0024188
Gr47b,Gr47b,protein_coding,1381,FBgn0041241
CG13204,CG13204,protein_coding,2189,FBgn0033627
Tapdelta,Tapdelta,protein_coding,977,FBgn0021795
CG13203,CG13203,protein_coding,2411,FBgn0033628
Tsp47F,Tsp47F,protein_coding,1208,FBgn0033629
Sod3,Sod3,protein_coding,2018,FBgn0033631
sprt,sprt,protein_coding,2795,FBgn0082585
CG30022,CG30022,protein_coding,1356,FBgn0050022
tRNA:Thr-TGT-2-1,tRNA:Thr-TGT-2-1,tRNA,72,FBgn0050257
tRNA:Thr-TGT-2-2,tRNA:Thr-TGT-2-2,tRNA,72,FBgn0050506
tRNA:Thr-TGT-2-3,tRNA:Thr-TGT-2-3,tRNA,72,FBgn0266573
tRNA:Thr-TGT-2-4,tRNA:Thr-TGT-2-4,tRNA,72,FBgn0266574
Smyd4-3,Smyd4-3,protein_coding,2174,FBgn0033633
CG30026,CG30026,protein_coding,821,FBgn0050026
CG34054,CG34054,protein_coding,545,FBgn0054054
Drip,Drip,protein_coding,2499,FBgn0015872
CG7763,CG7763,protein_coding,892,FBgn0040503
lncRNA:CR43771,lncRNA:CR43771,ncRNA,649,FBgn0264271
Prip,Prip,protein_coding,1609,FBgn0033635
qvr,qvr,protein_coding,5103,FBgn0260499
E(Pc),E(Pc),protein_coding,10946,FBgn0000581
inv,inv,protein_coding,5919,FBgn0001269
en,en,protein_coding,2792,FBgn0000577
tou,tou,protein_coding,12968,FBgn0033636
snoRNA:Psi28S-1936,snoRNA:Psi28S-1936,snoRNA,149,FBgn0082993
snoRNA:Psi28S-1180,snoRNA:Psi28S-1180,snoRNA,145,FBgn0086658
lncRNA:CR43907,lncRNA:CR43907,ncRNA,500,FBgn0264508
Egm,Egm,protein_coding,2033,FBgn0086712
CG9005,CG9005,protein_coding,6778,FBgn0033638
CG9003,CG9003,protein_coding,4682,FBgn0033639
CG34228,CG34228,protein_coding,415,FBgn0085257
tRNA:Arg-TCT-1-1,tRNA:Arg-TCT-1-1,tRNA,73,FBgn0050254
tRNA:Met-CAT-1-1,tRNA:Met-CAT-1-1,tRNA,73,FBgn0011915
Roc2,Roc2,protein_coding,758,FBgn0044020
CG13198,CG13198,protein_coding,543,FBgn0033640
tRNA:Met-CAT-1-2,tRNA:Met-CAT-1-2,tRNA,73,FBgn0011916
Tret1-1,Tret1-1,protein_coding,3375,FBgn0050035
Tret1-2,Tret1-2,protein_coding,1695,FBgn0033644
Buffy,Buffy,protein_coding,1038,FBgn0040491
CG13196,CG13196,protein_coding,2033,FBgn0033645
wal,wal,protein_coding,1579,FBgn0010516
CG13197,CG13197,protein_coding,3613,FBgn0062449
Ir48a,Ir48a,pseudogene,1226,FBgn0053471
Ir48b,Ir48b,protein_coding,1803,FBgn0033648
lncRNA:CR45377,lncRNA:CR45377,ncRNA,1154,FBgn0266926
pyr,pyr,protein_coding,3212,FBgn0033649
ths,ths,protein_coding,8067,FBgn0033652
CG13193,CG13193,protein_coding,570,FBgn0033650
CG42493,CG42493,protein_coding,590,FBgn0260007
Ir48c,Ir48c,protein_coding,1686,FBgn0033651
CG13192,CG13192,protein_coding,1343,FBgn0033653
Sobp,Sobp,protein_coding,3104,FBgn0033654
CG34229,CG34229,protein_coding,474,FBgn0259832
S2P,S2P,protein_coding,2020,FBgn0033656
CG43190,CG43190,protein_coding,664,FBgn0262819
asRNA:CR44304,asRNA:CR44304,ncRNA,576,FBgn0265363
Sln,Sln,protein_coding,3918,FBgn0033657
Mtor,Mtor,protein_coding,7780,FBgn0013756
CG34230,CG34230,protein_coding,546,FBgn0085259
Twdlbeta,Twdlbeta,protein_coding,716,FBgn0033658
Damm,Damm,protein_coding,2028,FBgn0033659
CG42531,CG42531,protein_coding,600,FBgn0260436
CR42532,CR42532,pseudogene,509,FBgn0260437
CG13185,CG13185,protein_coding,16988,FBgn0033661
cuff,cuff,protein_coding,1295,FBgn0260932
ERp60,ERp60,protein_coding,1807,FBgn0033663
eEF1alpha1,eEF1alpha1,protein_coding,2464,FBgn0284245
snoRNA:Me28S-A1322,snoRNA:Me28S-A1322,snoRNA,73,FBgn0015543
MCPH1,MCPH1,protein_coding,3754,FBgn0260959
Zip48C,Zip48C,protein_coding,1878,FBgn0033665
reb,reb,protein_coding,2211,FBgn0033667
lncRNA:CR44305,lncRNA:CR44305,ncRNA,1222,FBgn0265364
lncRNA:CR44312,lncRNA:CR44312,ncRNA,553,FBgn0265371
exp,exp,protein_coding,4532,FBgn0033668
PI31,PI31,protein_coding,1404,FBgn0033669
ADD1,ADD1,protein_coding,6170,FBgn0026573
CG30036,CG30036,protein_coding,1428,FBgn0050036
CG30037,CG30037,protein_coding,1387,FBgn0050037
GalT1,GalT1,protein_coding,2316,FBgn0053145
RnrS,RnrS,protein_coding,1593,FBgn0011704
CG34231,CG34231,protein_coding,1494,FBgn0085260
rho-7,rho-7,protein_coding,1533,FBgn0033672
CG8298,CG8298,protein_coding,2978,FBgn0033673
lncRNA:CR45319,lncRNA:CR45319,ncRNA,3531,FBgn0266858
lncRNA:CR45318,lncRNA:CR45318,ncRNA,1200,FBgn0266857
otk,otk,protein_coding,4769,FBgn0004839
lncRNA:CR44306,lncRNA:CR44306,ncRNA,801,FBgn0265365
otk2,otk2,protein_coding,1968,FBgn0267728
Mppe,Mppe,protein_coding,1790,FBgn0259985
pds5,pds5,protein_coding,4929,FBgn0260012
CG8321,CG8321,protein_coding,1195,FBgn0033677
CG43191,CG43191,protein_coding,1016,FBgn0262820
128up,128up,protein_coding,1304,FBgn0010339
RpIII128,RpIII128,protein_coding,3532,FBgn0004463
Drep1,Drep1,protein_coding,2153,FBgn0024732
CG30039,CG30039,protein_coding,727,FBgn0050039
CG44314,CG44314,protein_coding,2003,FBgn0265373
Drep3,Drep3,protein_coding,1804,FBgn0028407
CG8888,CG8888,protein_coding,1708,FBgn0033679
CG13186,CG13186,protein_coding,782,FBgn0033680
jeb,jeb,protein_coding,10378,FBgn0086677
CG18343,CG18343,protein_coding,630,FBgn0033683
SkpB,SkpB,protein_coding,877,FBgn0026176
Smyd4-4,Smyd4-4,protein_coding,2474,FBgn0027495
OSCP1,OSCP1,protein_coding,1167,FBgn0033685
Hen1,Hen1,protein_coding,1573,FBgn0033686
CG8878,CG8878,protein_coding,4079,FBgn0027504
CG8407,CG8407,protein_coding,763,FBgn0033687
Prp8,Prp8,protein_coding,7442,FBgn0033688
mir-988,mir-988,pre_miRNA,99,FBgn0262300
scaRNA:PsiU2-55,scaRNA:PsiU2-55,snoRNA,178,FBgn0263485
CG13177,CG13177,protein_coding,1099,FBgn0040759
CG34232,CG34232,protein_coding,904,FBgn0085261
Oda,Oda,protein_coding,2445,FBgn0014184
SmD3,SmD3,protein_coding,744,FBgn0023167
lncRNA:CR46194,lncRNA:CR46194,ncRNA,2149,FBgn0267913
mir-281-2,mir-281-2,pre_miRNA,92,FBgn0286007
mir-281-1,mir-281-1,pre_miRNA,90,FBgn0286006
CCT5,CCT5,protein_coding,1981,FBgn0010621
EndoG,EndoG,protein_coding,1124,FBgn0033690
asRNA:CR45264,asRNA:CR45264,ncRNA,732,FBgn0266802
CG8860,CG8860,protein_coding,420,FBgn0033691
wash,wash,protein_coding,1799,FBgn0033692
CG33964,CG33964,protein_coding,2245,FBgn0053964
CG13175,CG13175,protein_coding,2245,FBgn0033693
SmF,SmF,protein_coding,467,FBgn0000426
Cyp6g1,Cyp6g1,protein_coding,2074,FBgn0025454
Cyp6g2,Cyp6g2,protein_coding,1989,FBgn0033696
Cyp6t3,Cyp6t3,protein_coding,1694,FBgn0033697
CG8858,CG8858,protein_coding,5896,FBgn0033698
RpS11,RpS11,protein_coding,861,FBgn0033699
snoRNA:Me28S-C3420b,snoRNA:Me28S-C3420b,snoRNA,91,FBgn0083989
snoRNA:Me28S-C3420a,snoRNA:Me28S-C3420a,snoRNA,91,FBgn0083988
lncRNA:CR45276,lncRNA:CR45276,ncRNA,1806,FBgn0266814
Sr-CII,Sr-CII,protein_coding,2369,FBgn0020377
CG13171,CG13171,protein_coding,386,FBgn0033701
CG8854,CG8854,protein_coding,2130,FBgn0033702
lncRNA:CR44313,lncRNA:CR44313,ncRNA,601,FBgn0265372
CG13170,CG13170,protein_coding,415,FBgn0033703
CG43315,CG43315,protein_coding,591,FBgn0263020
CG43316,CG43316,protein_coding,576,FBgn0263021
CG43244,CG43244,protein_coding,435,FBgn0262889
lncRNA:CR44315,lncRNA:CR44315,ncRNA,301,FBgn0265374
CG13168,CG13168,protein_coding,1546,FBgn0033705
Vha36-2,Vha36-2,protein_coding,1296,FBgn0033706
Cam,Cam,protein_coding,5812,FBgn0000253
lncRNA:CR43900,lncRNA:CR43900,ncRNA,737,FBgn0264501
CG42700,CG42700,protein_coding,6071,FBgn0261611
asRNA:CR45271,asRNA:CR45271,ncRNA,1198,FBgn0266809
